Counter,PearsonCorrelation
MISALIGN_MEM_REF.STORE_PAGE_SPLIT.1,-0.09857995258240787
MISALIGN_MEM_REF.LOAD_PAGE_SPLIT.1,-0.10328934557609146
L1D_PEND_MISS.FB_FULL,-0.10753406155252022
L1D_PEND_MISS.FB_FULL_PERIODS,-0.1078684583078176
MISALIGN_MEM_REF.STORE_PAGE_SPLIT,-0.11346230113467681
DTLB_STORE_MISSES.WALK_COMPLETED.1,-0.11953548310550044
MISALIGN_MEM_REF.LOAD_PAGE_SPLIT,-0.12457428730074924
CPU_CLK_UNHALTED.REF_TSC:SUP.1,-0.12666484190352995
LD_BLOCKS.NO_SR,-0.13372886300535422
CPU_CLK_UNHALTED.REF_TSC:SUP,-0.13406845126746544
MEM_INST_RETIRED.SPLIT_STORES,-0.13768834112077788
XQ.FULL_CYCLES,-0.13786257159029433
FP_ARITH_DISPATCHED.PORT_0,-0.15240710406659716
FP_ARITH_DISPATCHED.PORT_5,-0.15446189546297773
FP_ARITH_DISPATCHED.PORT_1,-0.157126910776207
FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE,-0.16151545134520592
FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE,-0.170982688376556
L1D_PEND_MISS.L2_STALLS,-0.17482017153471022
EPT.EPDE_HIT,
EPT.EPDE_MISS,
EPT.EPDPE_HIT,
EPT.EPDPE_MISS,
EPT.HLAT_RESTART,
EPT.WALK_ACTIVE,
EPT.WALK_PENDING,
INT_VEC_RETIRED.VNNI_128,
INT_VEC_RETIRED.VNNI_256,
OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM,
OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD,
THREADS_ACTIVE.IN_C0E1,
THREADS_ACTIVE.IN_C0E2,
DTLB_LOAD_MISSES.WALK_COMPLETED_1G.1,
EPT.EPDE_HIT.1,
EPT.EPDE_MISS.1,
EPT.EPDPE_HIT.1,
EPT.EPDPE_MISS.1,
EPT.WALK_PENDING.1,
FREERUN_CORE_C3_RESIDENCY.1,
QPI.1,
